id,label,uri,type,type_generic,predicate_type
105,red currant (whole; raw),http://purl.obolibrary.org/obo/FOODON_00003008,food,food,
106,25180 - metapenaeus shrimps (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03542518,food,food,
107,vegetable corn; yellow (plant),http://purl.obolibrary.org/obo/FOODON_03411595,food,food,
108,paperboard container with aluminum foil liner,http://purl.obolibrary.org/obo/FOODON_03490147,food,food,
109,snapper food product,http://purl.obolibrary.org/obo/FOODON_00002246,food,food,
110,yellow field corn plant,http://purl.obolibrary.org/obo/FOODON_03411580,food,food,
111,pomfret family,http://purl.obolibrary.org/obo/FOODON_03411938,food,food,
112,rye bran,http://purl.obolibrary.org/obo/FOODON_03311582,food,food,
113,yellow cake mix,http://purl.obolibrary.org/obo/FOODON_03302835,food,food,
114,naked sole (raw),http://purl.obolibrary.org/obo/FOODON_03308292,food,food,
115,pineapple marmalade with pectin,http://purl.obolibrary.org/obo/FOODON_03315675,food,food,
116,knotweed family,http://purl.obolibrary.org/obo/FOODON_03414494,food,food,
117,beet plant,http://purl.obolibrary.org/obo/FOODON_03411309,food,food,
118,lemonade-flavored drink,http://purl.obolibrary.org/obo/FOODON_03306243,food,food,
119,kiwifruit plant (A. deliciosa),http://purl.obolibrary.org/obo/FOODON_03415178,food,food,
120,processed fruit product (eurofir),http://purl.obolibrary.org/obo/FOODON_03400834,food,food,
121,pasta (canned),http://purl.obolibrary.org/obo/FOODON_03306338,food,food,
122,pear food product,http://purl.obolibrary.org/obo/FOODON_00002101,food,food,
123,mullet (raw),http://purl.obolibrary.org/obo/FOODON_03308020,food,food,
124,thermoplastic adhesive,http://purl.obolibrary.org/obo/FOODON_03490229,food,food,
125,razor shell clam,http://purl.obolibrary.org/obo/FOODON_03412879,food,food,
126,amanatto (dry candied bean),http://purl.obolibrary.org/obo/FOODON_03316992,food,food,
127,licorice plant,http://purl.obolibrary.org/obo/FOODON_03412048,food,food,
128,44130 - mastic gum flavour (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03544413,food,food,
129,ginger ale,http://purl.obolibrary.org/obo/FOODON_03307130,food,food,
130,11  primary food commodities of plant origin (ccpr),http://purl.obolibrary.org/obo/FOODON_03400659,food,food,
